place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAW16uTy6yhQRI6P8chtcpqQ,Imtilak Real Estate,,False,989,"Name: Imtilak Group
link: https://www.google.com/maps/search/Imtilak+Group/@41.0644646,28.8058635?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews

Name: mulWk l`qry@ - shrk@ mulWk lltswyq l`qry
link: https://www.google.com/maps/search/%D9%85%D9%8F%D9%84%D8%A7%D9%91%D9%83+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9+-+%D8%B4%D8%B1%D9%83%D8%A9+%D9%85%D9%8F%D9%84%D8%A7%D9%91%D9%83+%D9%84%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A/@41.0636538,28.809389799999998?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews

Name: dydn l`qry@ | `qrt sTnbwl trky
link: https://www.google.com/maps/search/%D8%AF%D9%8A%D8%AF%D9%86+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9+%7C+%D8%B9%D9%82%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A5%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84+%D8%AA%D8%B1%D9%83%D9%8A%D8%A7/@41.0636613,28.8063288?authuser=0&hl=tr&entry=ttu
Reviews: 27 reviews

Name: Mersat Real estate | mrs@ l`qry@
link: https://www.google.com/maps/search/Mersat+Real+estate+%7C+%D9%85%D8%B1%D8%B3%D8%A7%D8%A9+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9/@41.0707877,28.809745699999997?authuser=0&hl=tr&entry=ttu
Reviews: 12 reviews

Name: MALL OF ISTANBUL KAMAR GROUP
link: https://www.google.com/maps/search/MALL+OF+%C4%B0STANBUL+KAMAR+GROUP/@41.0635693,28.8063716?authuser=0&hl=tr&entry=ttu
Reviews: 7 reviews",https://www.imtilak.net/,Imtilak Real Estate (Sahibi),https://www.google.com/maps/contrib/104740548815410972588,https://lh5.googleusercontent.com/p/AF1QipMocXULidam6pWlFLkd2VoX-_5n3So8wOIO2U_1=w408-h408-k-no,Emlak Burosu,"Emlak Burosu, Ticari Emlak Acentesi, Endustriyel Emlak Ajansi, Gayrimenkul Yatirimi Firmasi, Gayrimenkul Danismani",4.5,24 saat acik,Open All Days,0507 400 09 00,"Imtilak Real Estate, MALL OF ISTANBUL ZIYA GOKALP MAH. SULEYMAN DEMIREL BULVARI 7E THE OFFICE BLOCK NO: 64, 34490 Basaksehir/Istanbul",,https://www.google.com/maps/place/Imtilak+Real+Estate/data=!4m7!3m6!1s0x14caba3cb97a6d01:0xa4a65c1b72fca323!8m2!3d41.0640552!4d28.8064807!16s%2Fg%2F11bbww_mlv!19sChIJAW16uTy6yhQRI6P8chtcpqQ?authuser=0&hl=tr&rclk=1
ChIJNUjFMC2jyhQRrj0NaKoVlI0,AXIS LAW CONSULTING llmHm@ wlstshrt lqnwny@ wm`mlt ljnsy@ ltrky@,,False,634,"Name: Avukat Ferhat Kule
link: https://www.google.com/maps/search/Avukat+Ferhat+Kule/@40.999758199999995,28.799442599999995?authuser=0&hl=tr&entry=ttu
Reviews: 30 reviews

Name: Guven Yalim Hukuk Ve Dayanismanlik
link: https://www.google.com/maps/search/G%C3%BCven+Yal%C4%B1m+Hukuk+Ve+Dayan%C4%B1%C5%9Fmanl%C4%B1k/@41.0006209,28.7976309?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: KARAKECILI HUKUK & DANISMANLIK
link: https://www.google.com/maps/search/KARAKE%C3%87%C4%B0L%C4%B0+HUKUK+%26+DANI%C5%9EMANLIK/@41.0003619,28.797973300000002?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Avukat Gokhan Yagmur | Bosanma Avukati | Ceza Avukati | Yabancilar Avukati | Gayrimenkul Avukati | Icra Avukati
link: https://www.google.com/maps/search/Avukat+G%C3%B6khan+Ya%C4%9Fmur+%7C+Bo%C5%9Fanma+Avukat%C4%B1+%7C+Ceza+Avukat%C4%B1+%7C+Yabanc%C4%B1lar+Avukat%C4%B1+%7C+Gayrimenkul+Avukat%C4%B1+%7C+%C4%B0cra+Avukat%C4%B1/@40.9995854,28.797159299999997?authuser=0&hl=tr&entry=ttu
Reviews: 91 reviews

Name: Ozsahin & Kocak Hukuk Burosu
link: https://www.google.com/maps/search/%C3%96z%C5%9Fahin+%26+Ko%C3%A7ak+Hukuk+B%C3%BCrosu/@41.004953799999996,28.7756105?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews",http://axislawconsulting.com/,AXIS LAW CONSULTING llmHm@ wlstshrt lqnwny@ wm`mlt ljnsy@ ltrky@ (Sahibi),https://www.google.com/maps/contrib/100619243574118060665,https://lh5.googleusercontent.com/p/AF1QipNBchDGxq1fzbf3FfdP28AGpBUI4py15ZjLI7cN=w426-h240-k-no,Hukuk Burosu,Hukuk Burosu,5,08:30-22:00,Open All Days,0530 311 24 44,"Kartaltepe, AXIS LAW CONSULTING llmHm@ wlstshrt lqnwny@ wm`mlt ljnsy@ ltrky@, Suvari Cd. Torkam E5 Rezidans D:2 blok ofis no 19, 34295 Kucukcekmece/Istanbul",,https://www.google.com/maps/place/AX%C4%B0S+LAW+CONSULT%C4%B0NG+%D9%84%D9%84%D9%85%D8%AD%D8%A7%D9%85%D8%A7%D8%A9+%D9%88%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A%D8%A9+%D9%88%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA+%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D8%A9+%D8%A7%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14caa32d30c54835:0x8d9415aa680d3dae!8m2!3d40.9991992!4d28.7990228!16s%2Fg%2F11tjy5ybch!19sChIJNUjFMC2jyhQRrj0NaKoVlI0?authuser=0&hl=tr&rclk=1
